VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-04-07 14:39:22,2022-04-07 14:53:15,1.0,2.87,1.0,N,164,145,2,12.0,0.0,0.5,2.5,6.55,0.3,24.35,2.5,0.0
2,2022-04-07 14:51:59,2022-04-07 14:56:43,2.0,0.66,1.0,N,162,229,2,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5,0.0
2,2022-04-07 15:53:56,2022-04-07 15:56:52,2.0,0.67,1.0,N,162,141,2,4.5,0.0,0.5,1.95,0.0,0.3,9.75,2.5,0.0
2,2022-04-07 15:39:16,2022-04-07 15:43:57,1.0,0.81,1.0,N,234,234,2,5.0,0.0,0.5,1.24,0.0,0.3,9.54,2.5,0.0
2,2022-04-07 16:30:10,2022-04-07 17:18:15,2.0,5.08,1.0,N,65,230,2,29.5,1.0,0.5,8.45,0.0,0.3,42.25,2.5,0.0
1,2022-04-07 16:33:37,2022-04-07 16:49:40,1.0,1.5,1.0,N,246,100,2,11.0,3.5,0.5,3.05,0.0,0.3,18.35,2.5,0.0
2,2022-04-07 17:23:47,2022-04-07 17:33:02,1.0,0.44,1.0,N,162,162,2,7.0,1.0,0.5,1.0,0.0,0.3,12.3,2.5,0.0
2,2022-04-07 17:10:05,2022-04-07 17:15:36,1.0,0.48,1.0,N,79,234,3,5.0,1.0,0.5,0.0,0.0,0.3,9.3,2.5,0.0
1,2022-04-07 17:05:21,2022-04-07 17:13:06,0.0,1.0,1.0,N,142,239,2,7.0,3.5,0.5,2.25,0.0,0.3,13.55,2.5,0.0
1,2022-04-07 17:43:10,2022-04-07 18:01:37,0.0,5.0,1.0,N,132,130,2,17.5,2.25,0.5,3.0,0.0,0.3,23.55,0.0,1.25
2,2022-04-07 18:00:53,2022-04-07 18:18:29,1.0,3.54,1.0,N,48,166,2,14.0,1.0,0.5,4.58,0.0,0.3,22.88,2.5,0.0
1,2022-04-07 18:56:09,2022-04-07 19:04:11,1.0,1.0,1.0,N,224,148,2,7.0,3.5,0.5,2.0,0.0,0.3,13.3,2.5,0.0
1,2022-04-07 18:18:30,2022-04-07 18:24:06,1.0,1.2,1.0,Y,141,236,2,6.0,3.5,0.5,2.05,0.0,0.3,12.35,2.5,0.0
2,2022-04-07 18:11:58,2022-04-07 18:33:08,3.0,0.87,1.0,N,233,230,2,13.0,1.0,0.5,3.46,0.0,0.3,20.76,2.5,0.0
2,2022-04-07 19:37:26,2022-04-07 19:40:30,1.0,0.29,1.0,N,107,107,2,4.0,1.0,0.5,1.0,0.0,0.3,9.3,2.5,0.0
2,2022-04-07 19:39:55,2022-04-07 19:47:10,1.0,1.03,1.0,N,264,264,3,6.5,1.0,0.5,0.0,0.0,0.3,10.8,2.5,0.0
1,2022-04-07 19:23:37,2022-04-07 19:29:43,0.0,0.8,1.0,N,142,50,3,6.0,3.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2022-04-07 21:11:44,2022-04-07 21:17:02,2.0,1.17,1.0,N,236,140,3,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5,0.0
2,2022-04-07 21:44:20,2022-04-07 21:48:59,1.0,0.72,1.0,N,237,141,2,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-04-07 21:26:34,2022-04-07 21:33:33,4.0,1.24,1.0,N,161,233,2,6.5,0.5,0.5,1.03,0.0,0.3,11.33,2.5,0.0
2,2022-04-07 22:36:11,2022-04-07 22:39:25,1.0,0.96,1.0,N,263,75,2,5.0,0.5,0.5,2.0,0.0,0.3,8.3,0.0,0.0
2,2022-04-07 22:46:57,2022-04-07 23:02:16,1.0,2.38,1.0,N,100,141,2,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5,0.0
2,2022-04-07 23:48:36,2022-04-08 00:08:47,6.0,5.15,1.0,N,264,264,2,18.0,0.5,0.5,2.0,0.0,0.3,23.8,2.5,0.0
2,2022-04-08 01:05:37,2022-04-08 01:13:09,1.0,2.01,1.0,N,234,114,2,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,2022-04-08 02:06:16,2022-04-08 02:12:31,1.0,1.64,1.0,N,48,90,2,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5,0.0
2,2022-04-08 06:56:08,2022-04-08 06:59:55,1.0,0.83,1.0,N,79,249,2,5.0,0.0,0.5,2.0,0.0,0.3,10.3,2.5,0.0
1,2022-04-08 07:34:35,2022-04-08 07:41:52,1.0,1.5,1.0,N,186,137,3,7.0,2.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
1,2022-04-08 09:49:10,2022-04-08 10:04:25,1.0,1.9,1.0,N,113,233,3,11.0,2.5,0.5,0.0,0.0,0.3,14.3,2.5,0.0
2,2022-04-08 09:23:06,2022-04-08 09:28:22,1.0,0.83,1.0,N,239,142,2,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5,0.0
1,2022-04-08 10:55:52,2022-04-08 11:12:49,1.0,1.7,1.0,N,142,140,3,12.0,2.5,0.5,0.0,0.0,0.3,15.3,2.5,0.0
1,2022-04-08 10:16:01,2022-04-08 10:38:12,1.0,4.9,1.0,N,151,68,2,19.5,2.5,0.5,4.55,0.0,0.3,27.35,2.5,0.0
1,2022-04-08 10:34:51,2022-04-08 10:49:24,1.0,1.4,1.0,N,137,113,2,9.0,2.5,0.5,3.1,0.0,0.3,15.4,2.5,0.0
2,2022-04-08 10:24:27,2022-04-08 10:32:28,1.0,1.26,1.0,N,142,48,3,7.0,0.0,0.5,0.0,0.0,0.3,10.3,2.5,0.0
